,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
681,4,368,2,15.6,5,24,4,1,22,3,1.86,419.0
682,5,369,4,15.6,3,17,16,9,24,3,3.21,2051.0
683,2,370,2,17.3,6,10,4,3,77,3,2.5,699.0
684,6,371,5,13.3,8,8,8,4,9,3,1.19,1499.0
685,5,369,4,15.6,3,43,16,12,31,3,3.49,2813.75
686,2,3,2,15.6,5,3,4,5,30,3,1.86,612.61
687,5,7,2,15.6,5,10,4,7,12,3,2.2,545.67
688,2,372,2,17.3,6,54,6,15,78,3,2.65,569.0
689,6,373,2,15.6,5,57,4,5,57,3,2.1,318.0
690,3,374,2,14.0,5,57,4,8,57,8,1.45,375.0
691,6,375,2,14.0,3,3,4,3,3,3,1.7,699.0
692,2,307,6,17.3,3,26,8,5,47,3,3.14,1907.99
693,6,158,5,14.0,18,13,8,3,3,3,1.42,2590.0
694,10,91,2,13.3,6,3,8,3,3,3,1.5,973.0
695,3,376,3,11.6,5,86,4,8,21,3,1.4,269.0
696,6,146,5,14.0,9,13,16,4,3,3,1.38,1749.0
697,4,377,5,12.5,9,87,4,11,41,8,1.2,669.0
698,10,378,1,13.3,9,45,16,4,10,3,1.36,1877.0
699,2,379,2,15.6,6,13,4,5,19,3,2.1,689.0
700,5,97,4,15.6,3,17,8,7,17,3,2.56,819.0
701,6,56,2,15.6,3,88,4,3,19,3,2.2,399.0
702,6,194,2,15.6,5,61,8,7,79,3,2.2,429.0
703,6,380,2,15.6,3,3,4,29,3,3,2.1,621.45
704,6,381,2,15.6,5,10,4,5,10,2,1.9,450.0
705,5,280,2,15.6,3,3,8,3,3,3,2.18,795.0
706,3,63,5,13.3,8,9,8,3,9,3,1.6,999.0
707,6,382,6,15.6,3,45,16,4,80,9,2.18,1855.0
708,6,383,2,14.0,3,89,8,3,10,3,1.8,1191.0
709,2,384,2,17.3,6,75,6,15,19,3,2.71,655.01
710,6,12,4,15.6,6,26,8,9,32,3,2.5,1249.0
711,5,236,2,14.0,3,68,8,3,20,5,1.64,1089.0
712,5,280,2,15.6,3,3,8,7,3,5,1.98,726.0
713,4,206,2,14.0,3,24,4,8,22,3,1.5,298.0
714,5,287,2,15.6,3,60,16,4,3,3,1.93,1426.66
715,6,291,2,14.0,6,3,8,3,28,3,1.87,857.07
716,5,287,2,15.6,3,60,8,3,3,3,1.9,1179.0
717,6,385,2,15.6,5,90,4,5,63,3,2.19,298.0
718,15,386,2,14.0,34,91,4,30,16,3,1.4,265.0
719,2,19,2,17.3,3,13,8,3,20,3,2.63,1200.0
720,6,158,1,14.0,29,45,8,4,10,3,1.17,1686.64
721,2,362,5,13.3,32,3,8,3,3,3,1.58,836.6
722,6,245,1,14.0,6,3,8,3,3,3,1.32,1499.0
723,5,133,4,17.3,21,26,32,31,31,3,4.36,3659.4
724,8,187,4,17.3,3,26,8,9,32,3,2.7,1348.48
725,6,387,2,15.6,5,3,4,7,3,2,1.9,489.9
726,5,17,2,15.6,3,9,8,9,19,3,2.2,719.0
727,5,388,5,13.3,9,15,4,7,3,3,1.71,649.0
728,5,84,2,15.6,5,3,8,7,38,5,2.32,589.52
729,2,389,2,15.6,3,6,4,7,30,3,2.1,489.0
730,3,390,4,17.3,6,73,16,9,24,3,4.2,1935.0
731,5,7,2,15.6,5,3,12,7,3,3,2.25,649.0
732,2,391,2,15.6,3,78,6,9,30,3,2.1,650.0
733,3,392,2,15.6,5,3,4,5,3,3,2.4,559.0
734,6,180,2,13.3,6,3,8,3,3,3,1.44,960.0
735,6,393,2,15.6,3,13,4,7,3,3,1.85,779.0
736,2,394,6,15.6,3,26,16,3,81,3,2.6,2419.0
737,5,14,5,13.3,9,9,8,7,9,3,1.55,659.0
738,8,328,4,15.6,3,26,16,12,24,3,1.8,2094.48
739,3,248,2,15.6,5,10,4,5,10,3,2.4,410.8
740,5,395,2,15.6,3,13,8,9,15,3,2.0,1207.0
741,5,156,2,15.6,5,10,8,3,10,3,2.0,665.0
742,10,396,2,14.0,8,3,8,3,3,3,1.25,1535.0
743,6,397,5,14.0,9,3,8,3,3,3,1.7,999.0
744,6,398,6,15.6,20,55,16,19,80,3,2.5,3299.0
745,3,374,2,14.0,5,31,2,8,16,8,1.68,330.0
746,16,399,1,13.3,3,13,16,3,3,3,0.81,1649.0
747,2,3,2,15.6,3,10,8,3,10,3,1.86,539.0
748,5,236,2,14.0,5,3,8,3,3,3,1.6,1126.71
749,2,400,6,17.3,6,92,16,3,82,9,3.0,4389.0
750,6,401,3,11.6,22,31,4,1,16,3,1.4,475.0
751,2,325,2,15.6,3,83,8,3,10,3,1.84,1900.0
752,4,402,2,15.6,5,89,4,7,49,2,2.45,579.0
753,6,403,1,14.0,3,36,4,28,10,3,1.7,1096.0
754,4,404,2,15.6,5,13,4,3,3,3,2.37,849.9
755,6,405,5,13.3,31,93,8,3,83,3,1.3,1199.0
